,Befolkning,Total Omsättning,Omsättning per Invånare,Antal Bankomater,Befolknigstäthet,Genomsnittlig Ålder,Antal Transaktioner,Antal Transaktioner Per Bankomat,Genomsnittlig Transaktionsstorlek,Antal Invånare Per Bankomat,Utrikesfödda,Andel utrikesfödda
Ockelbo,5630,18126138,1616.6730288976098,2,5.5,49,7438,3719.0,2436.9639688088196,2815.0,752,0.13357015985790407
Ockelbo,5635,18126138,1616.6730288976098,2,5.5,49,7438,3719.0,2436.9639688088196,2817.5,797,0.1414374445430346
Ockelbo,5602,18126138,1616.6730288976098,2,5.5,49,7438,3719.0,2436.9639688088196,2801.0,743,0.1326312031417351
Ockelbo,5649,18126138,1616.6730288976098,2,5.5,49,7438,3719.0,2436.9639688088196,2824.5,810,0.14338821030270846
Ockelbo,5637,18126138,1616.6730288976098,2,5.5,49,7438,3719.0,2436.9639688088196,2818.5,797,0.14138726272840163
Ockelbo,5623,18126138,1616.6730288976098,2,5.5,49,7438,3719.0,2436.9639688088196,2811.5,752,0.13373643962297707
Ockelbo,5588,18126138,1616.6730288976098,2,5.5,49,7438,3719.0,2436.9639688088196,2794.0,675,0.12079455977093773
Ockelbo,5654,18126138,1616.6730288976098,2,5.5,49,7438,3719.0,2436.9639688088196,2827.0,810,0.14326140785284755
Ockelbo,5627,18126138,1616.6730288976098,2,5.5,49,7438,3719.0,2436.9639688088196,2813.5,797,0.14163852852319175
Ockelbo,5631,18126138,1616.6730288976098,2,5.5,49,7438,3719.0,2436.9639688088196,2815.5,762,0.13532232285562068
Ockelbo,5659,18126138,1616.6730288976098,2,5.5,49,7438,3719.0,2436.9639688088196,2829.5,797,0.14083760381692878
Ockelbo,5639,18126138,1616.6730288976098,2,5.5,49,7438,3719.0,2436.9639688088196,2819.5,810,0.14364248980315658
Ockelbo,5556,18126138,1616.6730288976098,2,5.5,49,7438,3719.0,2436.9639688088196,2778.0,752,0.1353491720662347
